Debate Chatbots DE 2
Zeitstempel,"Was interessiert Sie am meisten an politischen Debatten, wie zum Beispiel SRF Arena?",Was gefällt Ihnen nicht an politischen Debatten? (Wenn überhaupt etwas),Wie möchten Sie am liebsten an einer interaktiven Chatbot-Debatte teilnehmen?,"Welche Art von Unterstützung würden Sie sich von dem System wünschen, um dir die Teilnahme zu erleichtern?",Wie stark sollte die Debatte von einer unabhängigen Partei moderiert werden?,Wieso bevorzugen Sie diese Form? (aus der vorherigen Frage),"Wie lange sollte eine Debattenrunde dauern, bevor Sie das Interesse daran verlieren würden?","Was sollte in der Debatte geschehen, dass Sie sie spannend finden?","Wie wichtig sind Ihnen audiovisuelle Elemente (z.B. Videos, Diagramme, Audiokommentare) in einer Chatbot-Debatte?",Welche visuellen Elemente würden Ihnen für das Design der Debatte mit Chatbots am besten gefallen?,"Wie sollte die Debatte beginnen? (z.B. mit einer kurzen Einführung zu den einzelnen Chatbots, direkt in die Debatte einsteigen)",Wie deutlich sollten Chatbots ihre Perspektiven oder Rollen identifizieren?,"Wie hilfreich wären für Sie gelegentliche Zusammenfassungen während der Debatte (z. B. „Chatbot A argumentiert für X, Chatbot B ist aufgrund von Y anderer Meinung”)?","Wie hilfreich wäre es für Sie, am Ende eine Zusammenfassung zu haben (z. B. mit Lernpunkten)?","Welche Vorteile sehen Sie, wenn Sie mit einer Chatbot-Debatte interagieren können, im Vergleich zu anderen Formaten?","Was könnte Sie davon abhalten, an einer Chatbot-Debatte teilzunehmen oder diese anzusehen?","Gibt es noch etwas, das Sie hinzufügen möchten, was Sie zuvor noch nicht konnten?",Wie alt sind Sie?,Was ist Ihr Geschlecht?,Was ist Ihr höchster Bildungsabschluss?,Was ist Ihre aktuelle berufliche Beschäftigung,Was ist Ihre politische Einstellung?
2025/10/24 6:11:55 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Die Teilnehmer beim diskutieren zu beobachten (wie sie Argumente verteidigen und hinterfragen);Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden",nicht-faktenbasierte Argumente,Ab und zu kommentieren und Fragen stellen,"Das System fordert auf, etwas zu kommentieren;Das System fordert auf, die Argumente der Chatbots zu bewerten",Eine Mischung aus beidem,"KI ist nicht perfekt und erfordert daher eine Beaufsichtigung, insb. bzgl. dem Bias in Algorithmen.",5-10 Minuten,ausgewogen und Thematisch fordernd sowie detailgenau,"Nett, aber nicht notwendig",Minimalistisch und textbasiert,Kurze Einführung analog bei einer Podiumsdiskussion,"Sehr deutlich (z. B. Name der politischen Partei, die sie vertreten, Farbe)","Etwas hilfreich – um etwas noch einmal zu lesen, das ich zuvor übersehen hatte oder mir nicht sicher war.",Etwas hilfreich,Es gibt einem eine erste Möglichkeit seine Position zu erkunden und zu verfestigen bzw. zu verändern.,"Grundsätzlich thematisch sehr detaillierte Behauptungen und Statistiken, welche nur schwer nachvollziehbar sind, wenn man die besagte Statistik nicht kennt.",,18-24 Jahre,Männlich,Sekundarschule,Studierende,Eher Links
2025/10/24 8:25:34 AM MEZ,Die Teilnehmer beim diskutieren zu beobachten (wie sie Argumente verteidigen und hinterfragen),Es ist beeindruckend wie redegewandt einige Menschen sind..,Chatbot-Beiträge bewerten oder Feedback dazu geben,"Das System schlägt eine nächste Frage vor, die Sie als Nächstes an die Chatbots stellen könnten;Das System fordert auf, die Argumente der Chatbots zu bewerten",Lose - freier Austausch ist wichtiger,Fixe Redezeiten schränken die Gesprächsdynamik zu sehr ein. Lose Rahmenbedingungen fördern kreativität,10-15 Minuten,"Spannende Argumente, gegenteilige Meinungen die aufeinandertreffen, aktuelle Themen","Nett, aber nicht notwendig","Visuelle Elemente wie z.b. Emojis, Symbole, Reaktionssymbole",Direkter Einstieg,"Sehr deutlich (z. B. Name der politischen Partei, die sie vertreten, Farbe)",Sehr hilfreich – für einen Überblick,Sehr hilfreich - ich möchte am Ende einen Überblick haben,Meinungen könnten ggf. offener eingebracht werden weil das gegenüber kein Mensch ist —> man traut sich mehr zu aagen,Die Chatbots müssen gut auf system prompts hören und sollten nicht davon abweichen. Ansonsten könnte der Nutzer verwirrt/genervt sein,Nada,18-24 Jahre,Männlich,Bachelor-Abschluss,Teilzeit beschäftigt,Mitte
2025/10/24 8:29:41 AM MEZ,"Die Teilnehmer beim diskutieren zu beobachten (wie sie Argumente verteidigen und hinterfragen);Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden;Beobachten, wie ausgewogen und fair die Diskussion ist (ob alle Seiten gleich behandelt werden)","Wenn durchgehend Fragen aus dem Weg gegangen wird, weil man weiss das die richtige Antwort einem nicht helfen wird.",Beobachten und zuhören,"Das System schlägt eine nächste Frage vor, die Sie als Nächstes an die Chatbots stellen könnten",Eine Mischung aus beidem,Es sollte auf der einen Seite kontrolliert sein aber dennoch die Möglichkeit für freies Reden geben um eine möglichst sinnvolle Debatte zu fördern.,10-15 Minuten,Es soll ruhig und sachlich argumentiert werden sodass man am Ende 2 oder mehr Meinungen zu einem Thema hat.,"Nett, aber nicht notwendig",Farbige Akzente für verschieden Themen oder Positionen,Einführung in das Thema und kurz die Bots prösentieren.,"Überhaupt nicht, das würde zu vielen Vorurteilen führen.","Etwas hilfreich – um etwas noch einmal zu lesen, das ich zuvor übersehen hatte oder mir nicht sicher war.",Sehr hilfreich - ich möchte am Ende einen Überblick haben,"Die Emotionalität wird aus der Debatte nehmen, was Vorteile mit sich bringen kann.",Wenn mich das Thema nicht interessiert.,,18-24 Jahre,Männlich,Sekundarschule,Studierende,Eher Recht
2025/10/24 9:09:39 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Die Teilnehmer beim diskutieren zu beobachten (wie sie Argumente verteidigen und hinterfragen);Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden","Ich habe das Gefühl, dass bei manchen politischen Debatten zwischen stark polarisierenden Meinungen die Debatte sehr emotional werden kann und dann nicht mehr rational diskutiert wird. Im Allgemeinen finde ich politische Debatten vor allem für die eigene Meinungsbildung sehr sinnvoll.",Ab und zu kommentieren und Fragen stellen,"Das System schlägt eine nächste Frage vor, die Sie als Nächstes an die Chatbots stellen könnten;Das System fordert auf, die Argumente der Chatbots zu bewerten",Eine Mischung aus beidem,"Ich denke, dass eine zu starke/strenge Moderation den Meinungsaustausch schlussendlich hindern kann. Durch zu lose Moderation kann die Debatte aber auch leicht abdriften. Die Moderation sollte also da sein, aber nicht zu stark.",10-15 Minuten,"Zuerst eine Vorstellung des Themas frei von politischen Meinungen. Dann sollte jede Meinung präsentiert werden, gefolgt von einer Debatte","Nett, aber nicht notwendig",Farbige Akzente für verschieden Themen oder Positionen,Kurze Einführung zu den Chatbots und dem Thema,Diskret (z. B. mit der Farbe der Chat-Blase),"Etwas hilfreich – um etwas noch einmal zu lesen, das ich zuvor übersehen hatte oder mir nicht sicher war.",Sehr hilfreich - ich möchte am Ende einen Überblick haben,"Man kann sehen, ob man einen Fehler in der eigenen Denkweise macht und diese ausdiskutieren.","Fehlende Transparenz der Chatbots, zu wenig Interesse im Thema",,18-24 Jahre,Männlich,Lehre/ Ausbildung,Studierende,Eher Links
2025/10/24 9:48:07 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Die Teilnehmer beim diskutieren zu beobachten (wie sie Argumente verteidigen und hinterfragen);Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden",,Ab und zu kommentieren und Fragen stellen,"Das System fordert auf, etwas zu kommentieren",Eine Mischung aus beidem,Freiheit und Regeln sind beides wichtig,5-10 Minuten,Wenn es hart zu und her geht hahaha,Sehr wichtig - macht es einfach die Debatte zu verstehen und engagiert bleiben,Farbige Akzente für verschieden Themen oder Positionen,Direkt einsteigen,"Sehr deutlich (z. B. Name der politischen Partei, die sie vertreten, Farbe)","Etwas hilfreich – um etwas noch einmal zu lesen, das ich zuvor übersehen hatte oder mir nicht sicher war.",Sehr hilfreich - ich möchte am Ende einen Überblick haben,Weniger Überwindung als wenn man mit Menschen debattiert,Es gibt auch richtige Debatten wie etwa SRF Arena zum angucken,,18-24 Jahre,Männlich,Lehre/ Ausbildung,Studierende,Links
2025/10/25 10:09:54 AM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Die Teilnehmer beim diskutieren zu beobachten (wie sie Argumente verteidigen und hinterfragen);Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden",den teils fehlenden Respekt anderer Meinungen,Beobachten und zuhören,"Das System schlägt eine nächste Frage vor, die Sie als Nächstes an die Chatbots stellen könnten",Stark - klare Redezeiten und Themen sind wichtiger,aufgrund von Fairness,5-10 Minuten,verschiedene Meinungen geäussert werden,"Nett, aber nicht notwendig","Visuelle Elemente wie z.b. Emojis, Symbole, Reaktionssymbole","Wie bei Arena, Jeder darf eine Aussage tätigen","Sehr deutlich (z. B. Name der politischen Partei, die sie vertreten, Farbe)",Nicht wichtig – wäre eher zu viel Information,Etwas hilfreich,ich kann einfacher teilhaben,wenn gewisse Daten veröffentlicht werden dadurch,nope,18-24 Jahre,Männlich,Lehre/ Ausbildung,Studierende,Mitte
2025/10/25 3:00:58 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Die Teilnehmer beim diskutieren zu beobachten (wie sie Argumente verteidigen und hinterfragen)",Der Mangel an Echtzeit-Faktenchecks.,Beobachten und zuhören,"Das System fordert auf, die Argumente der Chatbots zu bewerten",Lose - freier Austausch ist wichtiger,"Es muss zwar gewisse Regeln geben, aber beide Seiten benötigen Zeit, ihre Argumente auszuführen.",Mehr als 15 Minuten,Es sollten sehr kritische Themen mit starker Polarisierung angesprochen werden.,Sehr wichtig - macht es einfach die Debatte zu verstehen und engagiert bleiben,"Helles, klares Design",Genau so wie in ihrem Beispiel.,Diskret (z. B. mit der Farbe der Chat-Blase),Sehr hilfreich – für einen Überblick,Sehr hilfreich - ich möchte am Ende einen Überblick haben,Ein geordneter Ablauf; kein Bias.,Mangelnde Zeit; Desinteresse ggü. der Thematik,,18-24 Jahre,Männlich,Bachelor-Abschluss,Studierende,Mitte
2025/10/25 4:53:54 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Die Teilnehmer beim diskutieren zu beobachten (wie sie Argumente verteidigen und hinterfragen);Beobachten, wie ausgewogen und fair die Diskussion ist (ob alle Seiten gleich behandelt werden)",,Beobachten und zuhören,"Das System schlägt eine nächste Frage vor, die Sie als Nächstes an die Chatbots stellen könnten;Das System fordert auf, nach der Debatte eine Position zu wählen",Stark - klare Redezeiten und Themen sind wichtiger,Eine gute Struktur führt zu klären Standpunkten ,Mehr als 15 Minuten,,"Nett, aber nicht notwendig",Farbige Akzente für verschieden Themen oder Positionen,Kurze Einführung,"Sehr deutlich (z. B. Name der politischen Partei, die sie vertreten, Farbe)","Etwas hilfreich – um etwas noch einmal zu lesen, das ich zuvor übersehen hatte oder mir nicht sicher war.",Sehr hilfreich - ich möchte am Ende einen Überblick haben,Es ist sehr direkt und offen,Nichts ,Keine,18-24 Jahre,Männlich,Sekundarschule,Studierende,Eher Links
2025/10/25 8:49:34 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Die Teilnehmer beim diskutieren zu beobachten (wie sie Argumente verteidigen und hinterfragen);Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden",,Beobachten und zuhören,Keine aktive Unterstützung durch das System,Eine Mischung aus beidem,Beide Teile sind interessant; eine leichte Moderation ist aber nötig,10-15 Minuten,,"Nett, aber nicht notwendig",Egal,-,Diskret (z. B. mit der Farbe der Chat-Blase),Nicht wichtig – wäre eher zu viel Information,Nicht wichtig,Egal,-,,18-24 Jahre,Männlich,Sekundarschule,Studierende,Mitte
2025/10/25 9:47:36 AM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Beobachten, wie ausgewogen und fair die Diskussion ist (ob alle Seiten gleich behandelt werden)",Zu lange rede Zeiten und unanständiges verhalten auch zu viel gegenseitiges reinreden,Chatbot-Beiträge bewerten oder Feedback dazu geben,"Das System fordert auf, die Argumente der Chatbots zu bewerten",Stark - klare Redezeiten und Themen sind wichtiger,Da so ein fairer Austausch aller Seiten ermöglicht wird und nicht nur die die viel reden zu Wort kommen,Mehr als 15 Minuten,Klare Argumente und die richtigen Fragen zum Thema wo ist genau der Diskurs,Sehr wichtig - macht es einfach die Debatte zu verstehen und engagiert bleiben,"Helles, klares Design",Einführung Vorsetellungsrunde,"Sehr deutlich (z. B. Name der politischen Partei, die sie vertreten, Farbe)",Sehr hilfreich – für einen Überblick,Sehr hilfreich - ich möchte am Ende einen Überblick haben,Weiss nicht wie gut die Chatbotd sind aber sind,Die emotinale Komponente und der tatsächliche Austauch der Seiten. Ich denke auch das die Slip-Ups von Personen etwas vom spannendsten in Debatten ist und viel der Kommunikation zwischen menschlich ist und denke das dies verloren gehen könnte.,,18-24 Jahre,Männlich,Bachelor-Abschluss,Teilzeit beschäftigt,Eher Links
2025/10/26 8:45:01 PM MEZ,Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden,Wenn jeder nur seine Meinung vertreten kann anstatt die andere Meinung zu akzeptieren,Beobachten und zuhören,"Das System fordert auf, die Argumente der Chatbots zu bewerten",Stark - klare Redezeiten und Themen sind wichtiger,So ist die Debatte geregelt und es endet nicht in einer Diskussion die sich nur noch auf ein Thema konzentriert,Weniger als 5 Minuten,,"Nett, aber nicht notwendig","Dunkles, fokussiertes Design",Jeder soll sich „Vorstellen“ und sein Ziel der Debatte bekannt geben,Diskret (z. B. mit der Farbe der Chat-Blase),Sehr hilfreich – für einen Überblick,Sehr hilfreich - ich möchte am Ende einen Überblick haben,"Es besteht die Möglichkeit Fragen zu stellen, Themen zu unterbrechen oder auch wenn nötig die eigene Meinung zu vertreten.",Wenn Themen nicht mehr sachlich angeschaut werden und die Debatte dadurch „unprofessionell“ geführt wird. ,,18-24 Jahre,Männlich,Lehre/ Ausbildung,Vollzeit beschäftigt,Eher Recht
2025/10/26 9:08:39 AM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Die Teilnehmer beim diskutieren zu beobachten (wie sie Argumente verteidigen und hinterfragen);Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden",,Ab und zu kommentieren und Fragen stellen,"Das System schlägt eine nächste Frage vor, die Sie als Nächstes an die Chatbots stellen könnten;Das System fordert auf, die Argumente der Chatbots zu bewerten",Eine Mischung aus beidem,"Klare Struktur ist nötig, jedoch hinderlich, falls zu rigide.",Weniger als 5 Minuten,,Sehr wichtig - macht es einfach die Debatte zu verstehen und engagiert bleiben,Farbige Akzente für verschieden Themen oder Positionen,"Kurze, klare Einführung ins Thema inklusive Vorstellung der einzelnen Chatbots.",Diskret (z. B. mit der Farbe der Chat-Blase),"Etwas hilfreich – um etwas noch einmal zu lesen, das ich zuvor übersehen hatte oder mir nicht sicher war.",Sehr hilfreich - ich möchte am Ende einen Überblick haben,"Flexible Fragestellung. Inputs, falls man nicht nachkommt.",Skeptik bezüglich Datenherkunft. Unwissen bezüglich Korrektheit der getätigten Aussagen.,,18-24 Jahre,Männlich,Sekundarschule,Studierende,Mitte
2025/10/23 3:31:41 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Die Teilnehmer beim diskutieren zu beobachten (wie sie Argumente verteidigen und hinterfragen)",,Beobachten und zuhören,das System fragt den Nutzer wiederholt nach seiner Stellung zum Thema.,Eine Mischung aus beidem,"Die unabhängige partei könnte z.B. erkennen, wenn sich die Konversation im Kreis dreht.",10-15 Minuten,Das Thema muss spanned sein und die debatierenden Parteien müssen extreme Positionen vertreten.,"Nett, aber nicht notwendig","Visuelle Elemente wie z.b. Emojis, Symbole, Reaktionssymbole",Eine möglichst neutrale Einführung zum Thema vom Moderator,"Sehr deutlich (z. B. Name der politischen Partei, die sie vertreten, Farbe)",Sehr hilfreich – für einen Überblick,Etwas hilfreich,Man kann viel besser auf die persönliche Meinung eingehen.  ,Keine Zeit für sowas,,25-34 Jahre,Männlich,Master-Abschluss,Studierende,Mitte
2025/10/23 3:50:35 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden",,Beobachten und zuhören,"Das System fordert auf, die Argumente der Chatbots zu bewerten",Eine Mischung aus beidem,-,10-15 Minuten,,Sehr wichtig - macht es einfach die Debatte zu verstehen und engagiert bleiben,"Helles, klares Design",-,"Sehr deutlich (z. B. Name der politischen Partei, die sie vertreten, Farbe)","Etwas hilfreich – um etwas noch einmal zu lesen, das ich zuvor übersehen hatte oder mir nicht sicher war.",Etwas hilfreich,-,-,-,25-34 Jahre,Männlich,Promotion,Vollzeit beschäftigt,Mitte
2025/10/23 4:54:27 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden",,Ab und zu kommentieren und Fragen stellen,"Das System fordert auf, die Argumente der Chatbots zu bewerten",Eine Mischung aus beidem,Um ein Ausufern der Diskussion und Abweichung vom Thema zu verhindern.,10-15 Minuten,,Sehr wichtig - macht es einfach die Debatte zu verstehen und engagiert bleiben,Farbige Akzente für verschieden Themen oder Positionen,Kurze Stellungnahme zur Position der Parteien,Diskret (z. B. mit der Farbe der Chat-Blase),Nicht wichtig – wäre eher zu viel Information,Sehr hilfreich - ich möchte am Ende einen Überblick haben,Skalierbar und niedrige Hemmschwelle. Nicht jeder kann/will im Arenastudio seine Frage stellen.,"ggf. intransparent, woher die Fakten stammen",Für weitere Meinungsbildung sollen verwendete Quellen aufgeführt werden,25-34 Jahre,Männlich,Promotion,Vollzeit beschäftigt,wechselnd
2025/10/23 5:02:27 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Beobachten, wie ausgewogen und fair die Diskussion ist (ob alle Seiten gleich behandelt werden)",Wenn ein Meinung überrepräsentiert ist.,Beobachten und zuhören,"Das System schlägt eine nächste Frage vor, die Sie als Nächstes an die Chatbots stellen könnten;Das System fordert auf, die Argumente der Chatbots zu bewerten",Eine Mischung aus beidem,"Keine Meinung überwiegt, auch wenn eine Partei vielleicht lauter ist. Argumente zählen eher.",10-15 Minuten,"Echte, gute Argumente, sodass man merkt, dass die Parteien gut informiert sind.","Nett, aber nicht notwendig",Farbige Akzente für verschieden Themen oder Positionen,Kurze Einführung,"Überhaupt nicht, das würde zu vielen Vorurteilen führen.","Etwas hilfreich – um etwas noch einmal zu lesen, das ich zuvor übersehen hatte oder mir nicht sicher war.",Sehr hilfreich - ich möchte am Ende einen Überblick haben,Bessere Struktur,Parteiische Chatbots,,25-34 Jahre,Männlich,Bachelor-Abschluss,Studierende,Eher Links
2025/10/23 7:08:27 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Die Teilnehmer beim diskutieren zu beobachten (wie sie Argumente verteidigen und hinterfragen);Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden;Beobachten, wie ausgewogen und fair die Diskussion ist (ob alle Seiten gleich behandelt werden)",,Ab und zu kommentieren und Fragen stellen,"Das System fordert auf, etwas zu kommentieren;Das System fordert auf, die Argumente der Chatbots zu bewerten",Stark - klare Redezeiten und Themen sind wichtiger,"Dass jeder seine Zeit zum reden hat, und nicht der lautere gewinnt. Jede Meinung zählt",10-15 Minuten,,Sehr wichtig - macht es einfach die Debatte zu verstehen und engagiert bleiben,Farbige Akzente für verschieden Themen oder Positionen,"Einführung zu den Chatbots, Themeneinführung",Diskret (z. B. mit der Farbe der Chat-Blase),Sehr hilfreich – für einen Überblick,Sehr hilfreich - ich möchte am Ende einen Überblick haben,"Eventuell strukturiertere Meinungen, einfacher mitzumachen, da die Hemmschwelle tiefer ist",Vielleicht zu starke Meinungen versteckt hinter Bots,,25-34 Jahre,Männlich,Bachelor-Abschluss,Teilzeit beschäftigt,Eher Links
2025/10/24 10:19:34 AM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Die Teilnehmer beim diskutieren zu beobachten (wie sie Argumente verteidigen und hinterfragen);Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden","z.T verschieben sich die Argumentationen in eine eher ""kindliche"" Richtung, was schnell unprofessionell wirken kann.",Chatbot-Beiträge bewerten oder Feedback dazu geben,"Das System fordert auf, etwas zu kommentieren;Das System schlägt eine nächste Frage vor, die Sie als Nächstes an die Chatbots stellen könnten;Das System fordert auf, nach der Debatte eine Position zu wählen;Das System fordert auf, die Argumente der Chatbots zu bewerten",Stark - klare Redezeiten und Themen sind wichtiger,"Um zu verhindern, dass sich eine zu starke Meinung in eine Richtung bildet (z.B konservativ vs. liberal)",5-10 Minuten,,Sehr wichtig - macht es einfach die Debatte zu verstehen und engagiert bleiben,"Dunkles, fokussiertes Design","Ich denke eine kurze Einführung, welche die Persona der Bots erklärt, wäre nicht schlecht (oder welche Partei(en) sie repräsentieren)","Sehr deutlich (z. B. Name der politischen Partei, die sie vertreten, Farbe)",Sehr hilfreich – für einen Überblick,Sehr hilfreich - ich möchte am Ende einen Überblick haben,"Chatbots können darauf programmiert werden, wie fest deren Meinung an einer Partei ""angehängt ist"" im Vergleich zum Menschen.","Wenn sie zu lange dauert, oder zu wenig interessante Bots sprechen/schreiben.",,25-34 Jahre,Männlich,Master-Abschluss,Vollzeit beschäftigt,Mitte
2025/10/24 7:59:51 PM MEZ,Die Teilnehmer beim diskutieren zu beobachten (wie sie Argumente verteidigen und hinterfragen),"Wenn man merkt, dass man nicht ehrlich sein kann, weil man sonst direkt ""verloren"" hat.
Obwohl man einfach ehrlich ist 🤷🏽‍♂️",Beobachten und zuhören & dann eigene Argumente angepasst einbringen.,"Das System fordert auf, nach der Debatte eine Position zu wählen",Eine Mischung aus beidem,Man sollte Spielregeln haben aber nicht die Art der Kommunikation beschränken.,Mehr als 15 Minuten,"Debatte ohne BS und Emotionen sollten auch nicht überhand nehmen, sondern verstehen das man auch mal ernst miteinander reden muss um wirklich vorwärts zu kommen.","Nett, aber nicht notwendig","Dunkles, fokussiertes Design",Einfach erklärt worum es gehen soll und wie die Spielregeln aussehen.,"Am besten wäre, wenn man zwischen verschiedenen Modi als ""Host"" wählen könnte. Je nach Thema/Zeitpunkt könnte die eine Art mehr von Vorteil sein als eine Andere.","Etwas hilfreich – um etwas noch einmal zu lesen, das ich zuvor übersehen hatte oder mir nicht sicher war.",Sehr hilfreich - ich möchte am Ende einen Überblick haben,"Man ist mobiler und kann ""organisations"" Kosten sparen. ",Nur die gleichen Meinungen oder keine sinnvolle Gespräche.,"Nope, vill Glück bim Projekt 🫱🏼‍🫲🏽",25-34 Jahre,Männlich,Bachelor-Abschluss,Studierende,Mitte
2025/10/25 3:13:40 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Die Teilnehmer beim diskutieren zu beobachten (wie sie Argumente verteidigen und hinterfragen);Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden;Beobachten, wie ausgewogen und fair die Diskussion ist (ob alle Seiten gleich behandelt werden)","Mich stören an politischen Debatten oft die endlosen Wiederholungen derselben Argumente, Monologe ohne echten Austausch und unnötige Zankereien, statt dass man konstruktiv zum Punkt kommt.",Ab und zu kommentieren und Fragen stellen,"Das System schlägt eine nächste Frage vor, die Sie als Nächstes an die Chatbots stellen könnten;Das System fordert auf, die Argumente der Chatbots zu bewerten",Stark - klare Redezeiten und Themen sind wichtiger,Verhindert Abschweifungen und unfähre Behandlung,5-10 Minuten,Kernfragen mit klaren Daten hinterlegen,"Nett, aber nicht notwendig",Farbige Akzente für verschieden Themen oder Positionen,"Kurze Einführungen zum Thema und den Chatbots, dannach debatte","Überhaupt nicht, das würde zu vielen Vorurteilen führen.",Sehr hilfreich – für einen Überblick,Sehr hilfreich - ich möchte am Ende einen Überblick haben,(Hoffentlich) wissenschaftlich fundierte und friedliche Argumentationen ohne emotionale Zankereien,"nicht zu wissen, anhand von was die bots trainiert sind (und welcher prompt).
Woher sie ihre daten holen. Argumentieren sie anhand von Quellen, die man nachschauen kann. Und mögliche bias im training",,25-34 Jahre,Männlich,Master-Abschluss,Vollzeit beschäftigt,Eher Links
2025/10/26 3:34:53 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Die Teilnehmer beim diskutieren zu beobachten (wie sie Argumente verteidigen und hinterfragen);Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden",Sachliche und konstruktive Diskussionen,Chatbot-Beiträge bewerten oder Feedback dazu geben,"Das System fordert auf, die Argumente der Chatbots zu bewerten",Eine Mischung aus beidem,Mischformen sind immer besser als Extreme bei solchen Dingen,5-10 Minuten,,Sehr wichtig - macht es einfach die Debatte zu verstehen und engagiert bleiben,"Dunkles, fokussiertes Design",Keine Präferenz,Diskret (z. B. mit der Farbe der Chat-Blase),Sehr hilfreich – für einen Überblick,Sehr hilfreich - ich möchte am Ende einen Überblick haben,"Weniger aus dem Ruder laufend, sachlicher","Gar keine menschliche Emotion, Sinn dahinter sehe ich nicht wirklich",,25-34 Jahre,Männlich,Master-Abschluss,Vollzeit beschäftigt,Mitte
2025/10/28 2:33:39 PM MEZ,"Verschiedene Perspektiven zu einem Thema anhören und entscheidend, welche davon überzeugender sind;Die Teilnehmer beim diskutieren zu beobachten (wie sie Argumente verteidigen und hinterfragen);Über politische Themen zu lernen und mir eine eigene Meinung dazu zu bilden;Beobachten, wie ausgewogen und fair die Diskussion ist (ob alle Seiten gleich behandelt werden)",Das Politiker*innen nur die Agenda der Partei vertreten. Das verfälscht eine authentische Diskussion.,Ab und zu kommentieren und Fragen stellen,"Das System schlägt eine nächste Frage vor, die Sie als Nächstes an die Chatbots stellen könnten;Das System fordert auf, die Argumente der Chatbots zu bewerten",Stark - klare Redezeiten und Themen sind wichtiger,Denke das ist das mindeste um fair zu bleiben und nicht Einseitig beeinflusst zu werden.,5-10 Minuten,aktives bewerten der Interaktionen. Wie bei 20Min Relevantes oder meiste Likes soll gepinned werden.,Sehr wichtig - macht es einfach die Debatte zu verstehen und engagiert bleiben,"Dunkles, fokussiertes Design",kurze Erklärung -> vlt. eine Personifikation der chatbots?,"Überhaupt nicht, das würde zu vielen Vorurteilen führen.",Sehr hilfreich – für einen Überblick,Sehr hilfreich - ich möchte am Ende einen Überblick haben,aktives Teilnehmen möglich,"Determinismus und zu viel Zensur. Ich will das ""fast"" alles möglich ist und ich die Debatte in Richtungen lenken kann.",Nein,25-34 Jahre,Männlich,Bachelor-Abschluss,Studierende,Links
